Parent,Child,age_ch,t,species
362,363,10.31245,0.21877499999999905,NA
363,364,5,5.31245,NA
363,365,9.4999,0.8125499999999999,NA
365,366,8.9998,0.5000999999999998,NA
362,367,8,2.531224999999999,NA
367,368,6.5,1.5,NA
361,369,6,6.270563291227582,NA
360,370,19.21468944919364,1.9522116362088013,NA
370,371,17.205028203155337,2.009661246038302,NA
371,372,15.530278222237,1.674749980918337,NA
372,373,13.25641693209054,2.27386129014646,NA
373,374,11.298320141887235,1.9580967902033048,NA
374,375,9.396716825304612,1.901603316582623,NA
375,376,7,2.396716825304612,NA
376,377,2.5,4.5,NA
375,378,2,7.396716825304612,NA
374,379,5.5,5.798320141887235,NA
373,380,9,4.25641693209054,NA
372,381,6.5,9.030278222237,NA
370,382,3.5,15.714689449193639,NA
359,383,18.725372345991318,4.374947066152828,NA
383,384,16.746804229517686,1.9785681164736317,NA
384,385,15.493280495882018,1.2535237336356673,NA
385,386,14.213260991764038,1.2800195041179805,NA
386,387,12.46829076051562,1.744970231248418,NA
387,388,4.5,7.96829076051562,NA
387,389,10.783473924038399,1.6848168364772214,NA
389,390,5.5,5.2834739240383986,NA
389,391,8.3750375,2.408436424038399,NA
391,392,8.000074999999999,0.37496250000000053,NA
392,393,7.50015,0.4999249999999993,NA
386,394,5.5,8.713260991764038,NA
385,395,12.999899999999998,2.49338049588202,NA
383,396,6,12.725372345991318,NA
205,397,13.387006968911287,35.1842910450688,NA
397,398,11.682547112778497,1.7044598561327895,NA
398,399,9.502676567402217,2.1798705453762803,NA
399,400,5.3750225,4.127654067402217,NA
400,401,5.250005,0.12501750000000023,NA
401,402,5,0.2500049999999998,NA
399,403,7.861905004654992,1.6407715627472248,NA
403,404,5.75002,2.111885004654992,NA
404,405,5.5,0.25002000000000013,NA
403,406,5,2.861905004654992,NA
NA,407,50.024697404638225,2.0912921010126233,NA
